#,الفريق,% الفوز بالكأس
1,Argentina,22.36
2,Spain,18.04
3,France,14.62
4,Colombia,8.3
5,England,7.14
6,Brazil,7.06
7,Norway,5.72
8,Morocco,3.68
9,Portugal,2.82
10,United States,2.42
11,Mexico,1.76
12,Egypt,1.24
13,Croatia,0.9
14,Switzerland,0.72
15,Australia,0.58
16,Ivory Coast,0.48
17,Belgium,0.42
18,Ecuador,0.34
19,Paraguay,0.32
20,Cape Verde,0.22
21,Ghana,0.22
22,DR Congo,0.18
23,Senegal,0.16
24,Algeria,0.1
25,Sweden,0.08
26,Bosnia and Herzegovina,0.06
27,Canada,0.06
28,Austria,0.0
